year,gdp_usd,manufactures_pct_exports,remittances_pct_gdp,remittances_usd
2000,83669788376.9213,91.3301201582007,8.27538844583698,6924000000.0
2001,78921234457.5487,90.9586742364003,11.0996743274612,8760000000.0
2002,84307345887.543,91.4338170553483,11.5470364978462,9735000000.0
2003,87039092974.2272,89.782674734017,11.7636795721571,10239000000.0
2004,95001999685.3314,89.7242558731507,12.0713248541975,11468000000.0
2005,107419977318.166,89.0915520721869,12.7839886627031,13732557721.8325
2006,127652926368.069,86.1491708259079,12.1392347971869,15496088457.3
2007,155980408673.403,84.918775193421,10.538140162174,16437434091.535
2008,181624626327.361,82.6300762234931,10.3789187625683,18850672419.335
2009,175974755881.372,85.3518425327419,11.3422561884615,19959507639.085
2010,208368893151.144,56.3054470711459,10.3454184113586,21556633835.6025
2011,234216730291.32,57.9042593773254,9.84286049520808,23053626019.0124
2012,261920540962.63,81.8219004151407,9.39585704973622,24609679612.7445
2013,283902828588.718,78.1013022136419,9.41055797221716,26716840269.1056
2014,297483555338.044,78.7258017022243,9.64449879049469,28690797896.4983
2015,306445871242.322,84.1683603088362,9.72419552564766,29799395699.8779
2016,318627003016.731,84.268635265002,9.77380233956317,31141973475.3293
2017,328480736802.76,80.8345389911726,9.98833927166016,32809770433.9087
2018,346841896587.313,81.8909660946722,9.74765976052018,33808967986.2665
2019,376823402239.136,81.1469880645746,9.33261353281524,35167471832.1844
2020,361751145451.597,79.8122088131795,9.64277376552078,34882844550.0775
2021,394087359848.11,79.6968331149038,9.30892916286057,36685313168.048
2022,404353369604.631,79.3663133121778,9.40977059288243,38048724464.3858
2023,437055627244.424,79.5008108525297,8.9455180769963,39096890141.6795
2024,461617509782.355,77.2100342054306,8.72571015588724,40279405932.4327
